ID,site,treatment,farmer,position,replicate,date.coll,region,pmn_mg_kg
172,SW1,SH,Bob-Barley,A,1,20191114,SW,5.333321748
174,SW1,SH,Bob-Barley,A,3,20191114,SW,0.02476938
175,SW1,CV,Connie-Corn,A,1,20191114,SW,4.398664994
176,SW1,CV,Connie-Corn,A,2,20191114,SW,1.553154873
177,SW1,CV,Connie-Corn,A,3,20191114,SW,0.056576973
178,SW1,UD,Bob-Barley,A,1,20191114,SW,NA
179,SW1,UD,Bob-Barley,A,2,20191114,SW,23.08300726
180,SW1,UD,Bob-Barley,A,3,20191114,SW,17.67797779
181,SW1,SH,Bob-Barley,B,1,20191114,SW,4.215131312
182,SW1,SH,Bob-Barley,B,2,20191114,SW,1.897965484
183,SW1,SH,Bob-Barley,B,3,20191114,SW,5.771773795
184,SW1,CV,Connie-Corn,B,1,20191114,SW,NA
185,SW1,CV,Connie-Corn,B,2,20191114,SW,2.301293382
186,SW1,CV,Connie-Corn,B,3,20191114,SW,2.261889133
187,SW1,UD,Bob-Barley,B,1,20191114,SW,NA
188,SW1,UD,Bob-Barley,B,2,20191114,SW,12.60855256
190,SW2,SH,Sally-Soy,A,1,20191120,SW,NA
192,SW2,SH,Sally-Soy,A,3,20191120,SW,12.72832682
194,SW2,CV,William-Wheat,A,2,20191120,SW,7.461428602
195,SW2,CV,William-Wheat,A,3,20191120,SW,4.137703902
196,SW2,UD,Sally-Soy,A,1,20191120,SW,20.33978585
197,SW2,UD,Sally-Soy,A,2,20191120,SW,23.50939267
199,SW2,SH,Sally-Soy,B,1,20191120,SW,3.871735319
200,SW2,SH,Sally-Soy,B,2,20191120,SW,6.854560624
201,SW2,SH,Sally-Soy,B,3,20191120,SW,3.218619585
202,SW2,CV,William-Wheat,B,1,20191120,SW,4.319244414
203,SW2,CV,William-Wheat,B,2,20191120,SW,5.098726813
204,SW2,CV,William-Wheat,B,3,20191120,SW,4.05389973
205,SW2,UD,Sally-Soy,B,1,20191120,SW,NA
206,SW2,UD,Sally-Soy,B,2,20191120,SW,NA
207,SW2,UD,Sally-Soy,B,3,20191120,SW,NA
208,SE3,SH,Bob-Beet,A,1,20191120,SE,5.170024858
209,SE3,SH,Bob-Beet,A,2,20191120,SE,3.423133901
210,SE3,SH,Bob-Beet,A,3,20191120,SE,0.837942541
211,SE3,CV,Oliver-Oats,A,1,20191120,SE,5.572021116
212,SE3,CV,Oliver-Oats,A,2,20191120,SE,2.374483682
213,SE3,CV,Oliver-Oats,A,3,20191120,SE,NA
214,SE3,UD,Bob-Beet,A,1,20191120,SE,14.5318176
215,SE3,UD,Bob-Beet,A,2,20191120,SE,9.332836017
216,SE3,UD,Bob-Beet,A,3,20191120,SE,19.67308571
217,SE3,SH,Bob-Beet,B,1,20191120,SE,2.740080508
218,SE3,SH,Bob-Beet,B,2,20191120,SE,4.793352387
219,SE3,SH,Bob-Beet,B,3,20191120,SE,NA
220,SE3,CV,Oliver-Oats,B,1,20191120,SE,3.291855736
221,SE3,CV,Oliver-Oats,B,2,20191120,SE,5.586883654
222,SE3,CV,Oliver-Oats,B,3,20191120,SE,5.890711117
223,SE3,UD,Bob-Beet,B,1,20191120,SE,18.7473859
225,SE3,UD,Bob-Beet,B,3,20191120,SE,18.62660797
226,SE4,SH,Polly-Peas,A,1,20191114,SE,4.021366902
227,SE4,SH,Polly-Peas,A,2,20191114,SE,4.396355446
228,SE4,SH,Polly-Peas,A,3,20191114,SE,4.592363015
232,SE4,UD,Polly-Peas,A,1,20191114,SE,24.58760802
233,SE4,UD,Polly-Peas,A,2,20191114,SE,22.89454135
234,SE4,UD,Polly-Peas,A,3,20191114,SE,24.85483701
235,SE4,SH,Polly-Peas,B,1,20191114,SE,11.24607966
236,SE4,SH,Polly-Peas,B,2,20191114,SE,2.476613914
237,SE4,SH,Polly-Peas,B,3,20191114,SE,4.278524979
242,SE4,UD,Polly-Peas,B,2,20191114,SE,24.92918986
